polling_unit_code,state_name,lga_name,ward_name,unit_name,doc_id,slug,image_file,registered_num,accredited_num,accredit_mark,APC,PDP,LP,NNPP,total_use,presiding_officer_name_present,presiding_officer_signature_present,polling_agent_signature_present,black_stamp
03/28/08/007,AKWA IBOM,UKANAFUN,"SOUTHERN AFAHA, ADAT IFANG 1","PRY SCH, IKOT ESSIEN",24820400,03_28_08_007_crop,03_28_08_007_24820400.gif,616.0,219.0,219.0,73.0,100.0,38.0,0.0,211.0,,,,
03/14/07/019,AKWA IBOM,IKOT EKPENE,IKOT EKPENE V11,"VILLAGE HALL, IKOT ESE ENANG",24818421,03_14_07_019_crop,03_14_07_019_24818421.gif,171.0,128.0,128.0,34.0,42.0,24.0,2.0,,,,,
03/30/06/002,AKWA IBOM,URUE OFFONG/ORUKO,ORUKO 1,"VILLAGE HALL, MBOKPU UKOAKAI",24817339,03_30_06_002_crop,03_30_06_002_24817339.gif,481.0,139.0,139.0,25.0,63.0,28.0,0.0,128.0,,,,
03/18/08/008,AKWA IBOM,MKPAT ENIN,IKPA IBOM 1V,"VILLAGE SQUARE, ATA IBOTIO",24820996,03_18_08_008_crop,03_18_08_008_24820996.gif,698.0,166.0,166.0,14.0,106.0,36.0,2.0,161.0,,,,
03/01/03/019,AKWA IBOM,ABAK,ABAK URBAN 111,PLAY GROUND MIDIM WATERSIDE,24817246,03_01_03_019_crop,03_01_03_019_24817246.gif,750.0,101.0,101.0,34.0,5.0,41.0,0.0,88.0,,,,
03/10/07/012,AKWA IBOM,IBIONO IBOM,IBIONO NORTHERN 1,"VILLAGE HALL, IKOT UBO MBIABONG",24820213,03_10_07_012_crop,03_10_07_012_24820213.gif,507.0,145.0,145.0,12.0,49.0,59.0,0.0,,,,,
03/28/10/007,AKWA IBOM,UKANAFUN,"SOUTHERN AFAHA, ADAT IFANG 111","VILLAGE HALL, ABAT AFAHA OBO",24820531,03_28_10_007_crop,03_28_10_007_24820531.gif,182.0,146.0,146.0,57.0,69.0,7.0,7.0,140.0,,,,
03/23/05/005,AKWA IBOM,OKOBO,AKAI/MBUKPO/UDUNG,"VILLAGE SQUARE, UDUNG UKPONG",24818971,03_23_05_005_crop,03_23_05_005_24818971.gif,685.0,130.0,130.0,57.0,28.0,9.0,0.0,100.0,,,,
03/18/08/006,AKWA IBOM,MKPAT ENIN,IKPA IBOM 1V,"PRY SCH, NDON IBOTIO I",24820998,03_18_08_006_crop,03_18_08_006_24820998.gif,604.0,165.0,165.0,11.0,48.0,101.0,0.0,165.0,,,,
03/10/05/005,AKWA IBOM,IBIONO IBOM,IBIONO SOUTHERN 1,"PRY SCH, IKOT AMBANG",24820261,03_10_05_005_crop,03_10_05_005_24820261.gif,750.0,0.0,0.0,30.0,30.0,111.0,0.0,184.0,,,,
03/14/05/007,AKWA IBOM,IKOT EKPENE,IKOT EKPENE V,MIN. OF WORKS GATE,24818472,03_14_05_007_crop,03_14_05_007_24818472.gif,924.0,279.0,279.0,110.0,29.0,123.0,2.0,268.0,,,,
03/23/03/002,AKWA IBOM,OKOBO,NUNG ATAI/UBE 1,"VILLAGE SQUARE, EBIGHI EDU",24819023,03_23_03_002_crop,03_23_03_002_24819023.gif,440.0,105.0,105.0,31.0,50.0,19.0,0.0,104.0,,,,
03/07/01/018,AKWA IBOM,ETINAN,ETINAN URBAN 1,"SLAWD PETERS TECH. SCH. II, UYO ROAD, ETINAN",24818058,03_07_01_018_crop,03_07_01_018_24818058.gif,113.0,74.0,74.0,28.0,31.0,11.0,0.0,72.0,,,,
04/05/03/008,ANAMBRA,ANAOCHA,ADAZI ENU  I,UMUABU VILLAGE HALL II,24826141,04_05_03_008_crop,04_05_03_008_24826141.gif,277.0,82.0,82.0,0.0,1.0,80.0,0.0,82.0,,,,
04/16/15/004,ANAMBRA,OGBARU,OSSOMALA,ORIE MARKET SQUARE II,24827768,04_16_15_004_crop,04_16_15_004_24827768.gif,689.0,0.0,,0.0,0.0,125.0,0.0,125.0,1.0,1.0,1.0,0
04/05/07/002,ANAMBRA,ANAOCHA,AGULU  I,AGUNKWO PRY. SCHOOL II,24826018,vm_04_05_07_002_crop,04_05_07_002_24826018.gif,202.0,72.0,72.0,1.0,0.0,71.0,0.0,,,,,
04/16/08/012,ANAMBRA,OGBARU,OGWU-IKPELE,UMUAKA/OFUFE,24827581,04_16_08_012_crop,04_16_08_012_24827581.gif,105.0,34.0,34.0,0.0,0.0,33.0,0.0,34.0,1.0,1.0,1.0,0
04/15/19/024,ANAMBRA,NNEWI SOUTH,UNUBI,PROGRESS CLUB HALL I,24825807,04_15_19_024_crop,04_15_19_024_24825807.gif,195.0,50.0,50.0,0.0,0.0,47.0,0.0,49.0,,,,
04/13/03/004,ANAMBRA,NJIKOKA,ABAGANA  I,COMM. PRY. SCH. OFONOCHI II,24825341,04_13_03_004_crop,04_13_03_004_24825341.gif,362.0,139.0,139.0,0.0,5.0,100.0,25.0,138.0,,,,
04/03/01/012,ANAMBRA,ANAMBRA EAST,AGULERI,CIVIC CENTRE  ABEGWU,24826449,04_03_01_012_crop,04_03_01_012_24826449.gif,71.0,29.0,29.0,1.0,0.0,24.0,0.0,27.0,,,,
04/19/08/004,ANAMBRA,ORUMBA NORTH,NANKA  I,ETTI VILLAGE HALL I,24826861,04_19_08_004_crop,04_19_08_004_24826861.gif,730.0,278.0,278.0,0.0,0.0,0.0,0.0,7.0,,,,
04/06/05/006,ANAMBRA,AWKA NORTH,AMANUKE,C/S AMANUKE II,24823826,04_06_05_006_crop,04_06_05_006_24823826.gif,413.0,125.0,125.0,0.0,5.0,114.0,0.0,124.0,0.0,0.0,1.0,0
04/16/14/059,ANAMBRA,OGBARU,OKPOKO VI,OPEN SPACE BY OBI STREET JUNCTION,24827698,04_16_14_059_crop,04_16_14_059_24827698.gif,128.0,101.0,101.0,0.0,0.0,0.0,0.0,,,,,
04/04/04/018,ANAMBRA,ANAMBRA WEST,OLUMBANASA - ODE,AJAGU MIGRANT FISHERMEN PRIMARY SCHOOL,24826357,04_04_04_018_crop,04_04_04_018_24826357.gif,100.0,50.0,50.0,0.0,0.0,48.0,0.0,50.0,,,,
04/14/03/016,ANAMBRA,NNEWI NORTH,OTOLO  I,NDIAKU OTOLO HALL III,24825187,04_14_03_016_crop,04_14_03_016_24825187.gif,498.0,144.0,144.0,0.0,0.0,139.0,1.0,140.0,0.0,1.0,1.0,1
04/16/09/022,ANAMBRA,OGBARU,OKPOKO I,OGBARU MAIN MARKET FIRST GATE,24827629,04_16_09_022_crop,04_16_09_022_24827629.gif,60.0,24.0,24.0,0.0,0.0,24.0,0.0,24.0,,,,
05/19/05/011,BAUCHI,WARJI,GABANGA,"KOFAR KANAWA  III,   KOFAR KANAWA DISPENSARY",24838142,05_19_05_011_crop,05_19_05_011_24838142.gif,449.0,181.0,181.0,38.0,134.0,0.0,7.0,181.0,,,,
05/05/07/016,BAUCHI,DARAZO,LANZAI,"NAHUTA MAISAJE,  KOFAR  M/UNGUWA",24837603,05_05_07_016_crop,05_05_07_016_24837603.gif,274.0,64.0,64.0,23.0,27.0,0.0,1.0,53.0,,,,
05/02/04/009,BAUCHI,BAUCHI,ZUNGUR/LIMAN  KATAGUM,"BOR, BOR",24837120,05_02_04_009_crop,05_02_04_009_24837120.gif,258.0,127.0,127.0,46.0,78.0,0.0,0.0,127.0,,,,
05/02/02/030,BAUCHI,BAUCHI,MAJIDADI 'B',"K/SHEHU JARUMI, K/SHEHU JARUMI",24837024,05_02_02_030_crop,05_02_02_030_24837024.gif,784.0,268.0,268.0,86.0,150.0,0.0,7.0,251.0,,,,
05/07/04/020,BAUCHI,GAMAWA,KUBDIYA,"KUKAYASKU,   KUKAYASKU VILLAGE",24835376,05_07_04_020_crop,05_07_04_020_24835376.gif,566.0,0.0,,44.0,110.0,0.0,12.0,167.0,,,,
05/09/05/025,BAUCHI,GIADE,GIADE,SENEGAL PRIMARY SCHOOL,24835148,05_09_05_025_crop,05_09_05_025_24835148.gif,354.0,223.0,223.0,0.0,0.0,0.0,0.0,0.0,,,,
05/02/06/019,BAUCHI,BAUCHI,DANDANGO/YAMRAT,"LEKKA PRIMARY SCHOOL, LEKKA PRIMARY SCHOOL",24836629,05_02_06_019_crop,05_02_06_019_24836629.gif,510.0,235.0,235.0,100.0,118.0,0.0,2.0,215.0,1.0,1.0,1.0,0
05/07/06/010,BAUCHI,GAMAWA,TUMBI,"KIRIKASOSUWA, PRIMARY SCHOOL II",24835181,05_07_06_010_crop,05_07_06_010_24835181.gif,374.0,117.0,117.0,53.0,52.0,0.0,5.0,112.0,,,,
05/02/09/007,BAUCHI,BAUCHI,KANGYARE/TURWUN,"KANYALLO,  KANYALLO SHED",24836869,05_02_09_007_crop,05_02_09_007_24836869.gif,239.0,226.0,226.0,43.0,50.0,0.0,3.0,97.0,,,,
05/12/10/018,BAUCHI,KATAGUM,YAYU,"RUGAR RAFI, GINDIN BOREHOLE",24836199,05_12_10_018_crop,05_12_10_018_24836199.gif,15.0,9.0,9.0,1.0,6.0,0.0,0.0,9.0,,,,
05/08/11/005,BAUCHI,GANJUWA,YALI,"KWARBA,  KOFAR SARKI",24835014,05_08_11_005_crop,05_08_11_005_24835014.gif,396.0,149.0,149.0,56.0,76.0,0.0,2.0,148.0,,,,
05/15/06/017,BAUCHI,NINGI,KUDU / YAMMA,"JIMI  II,   JIMI PRIMARY SCHOOL",24836289,05_15_06_017_crop,05_15_06_017_24836289.gif,788.0,170.0,170.0,87.0,60.0,0.0,12.0,,,,,
05/12/05/013,BAUCHI,KATAGUM,BUSKURI,"SALERI,    KOFAR JAURO",24836118,05_12_05_013_crop,05_12_05_013_24836118.gif,555.0,110.0,110.0,47.0,37.0,1.0,9.0,94.0,,,,
06/02/12/020,BAYELSA,EKEREMOR,EDUWINI II,CENSETEBE SQUARE,24841193,06_02_12_020_crop,06_02_12_020_24841193.gif,603.0,63.0,63.0,5.0,46.0,8.0,1.0,61.0,,,,
06/05/04/009,BAYELSA,OGBIA,ANYAMA,IKPESU - ANYAMA TOWN,24841504,06_05_04_009_crop,06_05_04_009_24841504.gif,191.0,67.0,67.0,44.0,16.0,3.0,0.0,63.0,1.0,1.0,1.0,0
06/05/02/020,BAYELSA,OGBIA,OTUOKPOTI,STATE SCHOOL (PRIMARY)-OTUOKPOTI,24841461,06_05_02_020_crop,06_05_02_020_24841461.gif,629.0,158.0,158.0,100.0,17.0,23.0,0.0,142.0,,,,
06/03/08/004,BAYELSA,KOLOKUMA/OPOKUMA,OPOKUMASOUTH,SIKI GBENE TOWN HALL,24841768,06_03_08_004_crop,06_03_08_004_24841768.gif,239.0,85.0,85.0,11.0,61.0,11.0,0.0,83.0,,,,
06/07/07/010,BAYELSA,SOUTHERN IJAW,CENTRAL BOMO I,DUGO - GBENE PRI. SCH.,24840655,06_07_07_010_crop,06_07_07_010_24840655.gif,300.0,79.0,79.0,25.0,29.0,15.0,0.0,69.0,,,,
06/04/05/009,BAYELSA,NEMBE,BASSAMBIRI 11,IGBEBELEU POLO/DERRI SQUARE,24841713,06_04_05_009_crop,06_04_05_009_24841713.gif,560.0,75.0,75.0,39.0,7.0,24.0,0.0,72.0,,,,
06/07/11/023,BAYELSA,SOUTHERN IJAW,AMASSOMA III,ADAKA TOWN HALL,24841045,06_07_11_023_crop,06_07_11_023_24841045.gif,213.0,58.0,58.0,20.0,25.0,12.0,1.0,58.0,,,,
06/08/09/001,BAYELSA,YENAGOA,GBARAIN III,AGWE OPEN SPACE,24840330,06_08_09_001_crop,06_08_09_001_24840330.gif,503.0,209.0,209.0,46.0,89.0,54.0,0.0,197.0,,,,
06/07/09/013,BAYELSA,SOUTHERN IJAW,AMASSOMA  I,EBIEDE COMM. SQUARE,24840670,vm_06_07_09_013_crop,06_07_09_013_24840670.gif,365.0,94.0,94.0,9.0,25.0,40.0,0.0,87.0,,,,
06/07/05/003,BAYELSA,SOUTHERN IJAW,OTUAN,OROUSUODEI POLO OPEN SPACE,24840844,06_07_05_003_crop,06_07_05_003_24840844.gif,247.0,103.0,103.0,30.0,63.0,6.0,0.0,99.0,,,,
06/01/10/008,BAYELSA,BRASS,SANGANA,KIANI - BIRI OPEN SPACE,24840158,06_01_10_008_crop,06_01_10_008_24840158.gif,1107.0,122.0,122.0,11.0,96.0,13.0,0.0,,,,,
06/07/02/007,BAYELSA,SOUTHERN IJAW,OPOROMA   II,AGUO OPEN SPACE,24840838,06_07_02_007_crop,06_07_02_007_24840838.gif,236.0,88.0,88.0,17.0,25.0,41.0,0.0,,,,,
06/07/04/005,BAYELSA,SOUTHERN IJAW,OLODIAMA  II,AKPOKOWARI OPEN SPACE,24840876,06_07_04_005_crop,06_07_04_005_24840876.gif,616.0,0.0,0.0,52.0,17.0,10.0,0.0,79.0,,,,
07/09/04/014,BENUE,KATSINA-ALA,KATSINA-ALA TOWN,IORNENGE ADI/NEAR IORNENGE ADI COMPOUND,24842559,07_09_04_014_crop,07_09_04_014_24842559.gif,485.0,157.0,157.0,93.0,38.0,11.0,0.0,,,,,
07/23/09/009,BENUE,VANDEIKYA,NINGEV,"LGEA SCHOOL, PREMISES TYOKASE",24844203,07_23_09_009_crop,07_23_09_009_24844203.gif,513.0,146.0,146.0,126.0,13.0,2.0,0.0,144.0,,,,
07/11/06/013,BENUE,KWANDE,MBAIKYOR,RCM PRIM SCH IHINDAN II - WITHIN THE PREMISES,24846228,07_11_06_013_crop,07_11_06_013_24846228.gif,528.0,120.0,120.0,42.0,11.0,61.0,3.0,120.0,,,,
07/09/01/008,BENUE,KATSINA-ALA,IKURAV TIEV I,AYUA MARKET II/AYUA MARKET SQUARE,24842416,07_09_01_008_crop,07_09_01_008_24842416.gif,922.0,162.0,162.0,120.0,25.0,11.0,0.0,163.0,,,,
07/21/05/015,BENUE,UKUM,KENDEV,"NKST. SCHOOL, NGIRA VILLAGE/NGIRA VILLAGE SETTLEMENT - SCHOOL",24845312,07_21_05_015_crop,07_21_05_015_24845312.gif,683.0,213.0,213.0,80.0,89.0,23.0,0.0,194.0,,,,
07/16/08/007,BENUE,OJU,OKPOKPO,IGWE OMACHI - PLAY GROUND,24846026,07_16_08_007_crop,07_16_08_007_24846026.gif,362.0,72.0,72.0,1.0,3.0,68.0,0.0,72.0,,,,
07/12/03/019,BENUE,LOGO,MBATER,AGANDI VILLAGE SQUARE,24843891,07_12_03_019_crop,07_12_03_019_24843891.gif,143.0,113.0,113.0,45.0,63.0,3.0,0.0,112.0,,,,
07/10/09/025,BENUE,KONSHISHA,MBAWAR,AGERA PRIM. SCH. AGBO,24845767,07_10_09_025_crop,07_10_09_025_24845767.gif,88.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,,,,
07/13/08/025,BENUE,MAKURDI,MODERN MARKET,"OPEN SPACE OPPOSITE LUCKY STAR NUR/PRI SCHOOL, CECILIA HEMBE STREET (LOW COST)",24843189,07_13_08_025_crop,07_13_08_025_24843189.gif,750.0,224.0,224.0,29.0,6.0,168.0,2.0,208.0,0.0,1.0,1.0,1
07/04/05/031,BENUE,BURUKU,MBAAPEN,HON MKT SQR,24844965,07_04_05_031_crop,07_04_05_031_24844965.gif,137.0,108.0,108.0,82.0,1.0,23.0,0.0,107.0,,,,
07/11/01/021,BENUE,KWANDE,ADIKPO METROPOLIS,NKST SEC SCH ADIKPO - WITHIN SCH PREMISES,24846247,07_11_01_021_crop,07_11_01_021_24846247.gif,898.0,241.0,241.0,173.0,15.0,44.0,3.0,239.0,,,,
07/03/01/010,BENUE,APA,AKPETE/OJANTELLE,OJANTALLE NEW MARKET SQUARE,24845084,07_03_01_010_crop,07_03_01_010_24845084.gif,85.0,32.0,32.0,4.0,3.0,16.0,0.0,27.0,,,,
07/13/06/067,BENUE,MAKURDI,FIIDI,JUDGES QUARTERS EXTENSION OPEN SPACE OPPOSITE VIA CHRISTI SOCIETY,24843227,07_13_06_067_crop,07_13_06_067_24843227.gif,750.0,329.0,329.0,96.0,4.0,206.0,0.0,320.0,,,,
08/21/05/007,BORNO,MAIDUGURI M. C.,GAMBORU LIBERTY,ALH. TAHIR,24850339,08_21_05_007_crop,08_21_05_007_24850339.gif,641.0,110.0,110.0,40.0,61.0,0.0,3.0,106.0,,,,
08/13/09/016,BORNO,JERE,OLD MAIDUGURI,ALHAJI TAHIR AHMED I,24847990,08_13_09_016_crop,08_13_09_016_24847990.gif,825.0,153.0,153.0,51.0,78.0,1.0,10.0,143.0,,,,
08/03/11/021,BORNO,BAMA,SHEHURI / HAUSARI / MAIRI,ABUJA POLICE BARRACKS,24849686,08_03_11_021_crop,08_03_11_021_24849686.gif,812.0,131.0,131.0,44.0,80.0,0.0,0.0,130.0,1.0,1.0,1.0,0
08/11/09/011,BORNO,GWOZA,JOHODE/CHIKIDE/KUGHUM,BARAWA PIGE,24851376,08_11_09_011_crop,08_11_09_011_24851376.gif,817.0,80.0,80.0,63.0,13.0,0.0,0.0,78.0,,,,
08/16/07/012,BORNO,KONDUGA,KONDUGA,MANDURARI PRI. SCH.  II,24851128,08_16_07_012_crop,08_16_07_012_24851128.gif,641.0,119.0,119.0,,,,,,0.0,1.0,1.0,1
08/11/09/024,BORNO,GWOZA,JOHODE/CHIKIDE/KUGHUM,CHIKIDA PRI. SCH.  II,24851377,08_11_09_024_crop,08_11_09_024_24851377.gif,527.0,21.0,21.0,7.0,10.0,0.0,1.0,19.0,,,,
08/24/03/003,BORNO,MONGUNO,KUMALIA,CHIRCHIRA,24848729,08_24_03_003_crop,08_24_03_003_24848729.gif,545.0,125.0,125.0,86.0,18.0,0.0,0.0,109.0,1.0,1.0,1.0,0
08/21/03/026,BORNO,MAIDUGURI M. C.,BULABLIN,ALH MODU GANA,24850449,08_21_03_026_crop,08_21_03_026_24850449.gif,440.0,93.0,93.0,68.0,17.0,0.0,0.0,87.0,,,,
08/21/13/127,BORNO,MAIDUGURI M. C.,MAISANDARI,MUSTAPHA TELA,24850169,08_21_13_127_crop,08_21_13_127_24850169.gif,5.0,3.0,3.0,0.0,1.0,0.0,3.0,3.0,,,,
08/07/07/006,BORNO,DAMBOA,KAFA / MAFI,BUK,24847319,08_07_07_006_crop,08_07_07_006_24847319.gif,751.0,182.0,182.0,93.0,37.0,0.0,0.0,134.0,,,,
08/13/08/003,BORNO,JERE,NGUDAA/ADDAMARI,BULAMA YARO  III,24847848,08_13_08_003_crop,08_13_08_003_24847848.gif,451.0,165.0,165.0,75.0,85.0,0.0,1.0,165.0,,,,
08/07/05/028,BORNO,DAMBOA,DAMBOA,LATE ALH. KYARI MULTE,24847383,08_07_05_028_crop,08_07_05_028_24847383.gif,112.0,63.0,63.0,43.0,16.0,0.0,0.0,60.0,0.0,1.0,1.0,1
08/13/02/011,BORNO,JERE,BALE GALTIMARI,BULAMA JIDDA  I,24848097,08_13_02_011_crop,08_13_02_011_24848097.gif,1061.0,201.0,201.0,75.0,98.0,3.0,3.0,192.0,1.0,1.0,1.0,0
09/15/06/011,CROSS RIVER,ODUKPANI,ENIONG,"VILLAGE SQUARE, IKOT UDIA",24854949,09_15_06_011_crop,09_15_06_011_24854949.gif,215.0,65.0,65.0,31.0,18.0,3.0,0.0,53.0,1.0,1.0,1.0,0
09/14/08/007,CROSS RIVER,OBUDU,UTUGWANG CENTRAL,NEAR CHIEF OKPAM'S FRONTAGE,24854399,09_14_08_007_crop,09_14_08_007_24854399.gif,1069.0,151.0,151.0,54.0,38.0,109.0,1.0,202.0,,,,
09/08/06/027,CROSS RIVER,CALABAR MUNICIPALITY,SIX,"CALABAR CALABAR OPEN SPACE, RCC JUNC. REDEEMED CHURCH",24853587,09_08_06_027_crop,09_08_06_027_24853587.gif,514.0,184.0,184.0,10.0,8.0,152.0,0.0,173.0,,,,
09/16/01/006,CROSS RIVER,OGOJA,EKAJUK I,PRIMARY SCHOOL MFOM I,24855953,09_16_01_006_crop,09_16_01_006_24855953.gif,750.0,235.0,235.0,67.0,100.0,51.0,0.0,220.0,,,,
09/12/02/002,CROSS RIVER,OBANLIKU,BEBI,"PLAYGROUND, BEGBONG",24854887,09_12_02_002_crop,09_12_02_002_24854887.gif,815.0,335.0,335.0,150.0,117.0,60.0,0.0,,1.0,1.0,1.0,0
09/16/01/002,CROSS RIVER,OGOJA,EKAJUK I,"PLAYGROUND, BANSARA",24855939,09_16_01_002_crop,09_16_01_002_24855939.gif,770.0,215.0,215.0,83.0,69.0,54.0,1.0,208.0,,,,
09/11/03/056,CROSS RIVER,IKOM,IKOM URBAN I,NOGAK POLYTECHNIC GATE,24856272,09_11_03_056_crop,09_11_03_056_24856272.gif,750.0,183.0,183.0,4.0,4.0,139.0,0.0,139.0,0.0,1.0,1.0,1
09/10/01/007,CROSS RIVER,ETUNG,ABIA,"COMMUNITY SECONDARY SCHOOL, ABIA",24855647,vm_09_10_01_007_crop,09_10_01_007_24855647.gif,66.0,19.0,19.0,5.0,4.0,10.0,0.0,19.0,1.0,1.0,1.0,0
09/08/01/026,CROSS RIVER,CALABAR MUNICIPALITY,ONE,GOVT PRY SCH AKIM,24853625,09_08_01_026_crop,09_08_01_026_24853625.gif,750.0,206.0,206.0,10.0,8.0,170.0,0.0,191.0,,,,
09/06/02/009,CROSS RIVER,BIASE,ADIM,ADIM NEW TOWN HALL,24853301,09_06_02_009_crop,09_06_02_009_24853301.gif,122.0,69.0,69.0,23.0,27.0,100.0,3.0,155.0,,,,
